Date,Open,High,Low,Close,Adj Close,Volume
2020-01-24,32270.400390625,33126.19921875,32270.400390625,32270.400390625,30019.736328125,5939
2020-01-27,31366.0,32270.400390625,30661.599609375,31366.0,29178.412109375,2279
2020-01-28,31746.80078125,32222.80078125,31366.0,31746.80078125,29532.654296875,7548
2020-01-29,31318.400390625,31746.80078125,31051.900390625,31318.400390625,29134.1328125,12249
2020-01-30,31080.5,31823.900390625,30653.099609375,31080.5,28912.82421875,17109
2020-01-31,31806.80078125,31806.80078125,31080.5,31806.80078125,29588.46875,26158
2020-02-03,32540.69921875,33313.69921875,32364.599609375,32540.69921875,30271.18359375,16099
2020-02-04,33317.5,33317.5,32556.0,33317.5,30993.806640625,36694
2020-02-05,34269.3984375,34269.3984375,33260.3984375,34269.3984375,31879.318359375,24183
2020-02-06,34840.6015625,34981.5,34364.6015625,34840.6015625,32410.681640625,30325
2020-02-07,34800.6015625,34840.6015625,33887.69921875,34800.6015625,32373.46875,6144
2020-02-10,34174.19921875,34797.80078125,33625.0,34174.19921875,31790.755859375,7404
2020-02-11,34269.3984375,34726.3984375,34174.19921875,34269.3984375,31879.318359375,7312
2020-02-12,34174.19921875,34806.30078125,33981.8984375,34174.19921875,31790.755859375,5740
2020-02-13,34174.19921875,34269.3984375,33222.30078125,34174.19921875,31790.755859375,19056
2020-02-14,34474.1015625,35220.3984375,34079.0,34451.19921875,32048.439453125,550
2020-02-17,34269.3984375,34451.19921875,33794.3984375,34269.3984375,31879.318359375,3376
2020-02-18,33412.69921875,34174.19921875,33412.69921875,33412.69921875,31082.3671875,7152
2020-02-19,32365.599609375,33793.5,32365.599609375,32365.599609375,30108.296875,7596
2020-02-20,32365.599609375,32689.19921875,32175.19921875,32365.599609375,30108.296875,7832
2020-02-21,32269.400390625,32936.69921875,32090.5,32269.400390625,30018.806640625,8204
2020-02-24,31190.900390625,32269.400390625,31186.099609375,31190.900390625,29015.525390625,3329
2020-02-25,30747.30078125,31508.80078125,30678.80078125,30747.30078125,28602.86328125,8291
2020-02-26,30377.0,31133.80078125,29605.0,30377.0,28258.388671875,17999
2020-02-27,30459.80078125,30935.80078125,29466.0,30459.80078125,28335.416015625,15190
2020-02-28,29033.80078125,30458.900390625,29033.80078125,29033.80078125,27008.869140625,53111
2020-03-02,30223.69921875,30461.69921875,29509.80078125,30223.69921875,28115.779296875,20248
2020-03-03,30747.30078125,31970.5,30556.900390625,30747.30078125,28602.86328125,29178
2020-03-04,31606.900390625,31885.80078125,30748.19921875,31606.900390625,29402.51171875,6579
2020-03-05,31413.599609375,31790.599609375,31072.900390625,31413.599609375,29222.69140625,25748
2020-03-06,30566.400390625,31413.599609375,30556.900390625,30566.400390625,28434.580078125,16330
